,Destination,Railway colony,Anantpura,Basant vihar,Dadwara,JDB college,Kothri,Khedli patak,Jawahar Nagar,Rangbari,RK Puram,Rajeev gandhi nagar,Santoshi nagar,Vigyan nagar,NHMC,MBS hospital,Shreenath puram,Talwandi,Teen batti circle,Subash nagar Rangbari,Themral colony,Vivekanand nagar,Keshavpura,DRM office,Mahaveer Nagar,Dadabari,Railway station,Gumanpura, Aerodram circle,City mall,D mart,Nagar Nigam Chhawani,GMC rangbari,Thermal power plant,RTU,Sabji mandi kota 
Origin,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Railway colony,1,0,0,0,10,13,0,19,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,17,0,0,17,0,0,7,0,0,0,0,9,0
Anantpura,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basant vihar,3,0,0,0,0,0,13,0,22,0,27,30,0,31,0,0,22,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dadwara,4,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
JDB College,5,0,0,0,0,0,29,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,13,0,1,1,0,0,1,0,0,0,0,0,0,0
Kothri,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Khedli patak,7,19,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jawahar Nagar,8,7,0,0,0,17,0,0,0,0,0,21,37,29,0,0,26,37,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Rangbari,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RK Puram,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rajeev gandhi nagar,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Santoshi nagar,12,0,0,27,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Vigyan nagar,13,0,0,23,0,0,17,0,16,0,0,16,0,0,0,0,0,30,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
NHMC,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBS Hospital,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreenath puram,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Talwandi,17,13,0,29,0,0,0,0,13,0,0,13,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
Teen batti circle,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Subash nagar Rangbari,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Themral colony,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Vivekanand nagar,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keshavpura,22,16,0,28,0,9,0,0,29,8,23,28,32,0,0,17,0,41,37,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,13,7
DRM office,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahaveer Nagar,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,28,0,0,1,0,1,0,1,1,0,0,0,0,0
Dadabari,25,0,0,0,0,0,0,0,30,0,17,0,0,0,0,0,21,37,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Railway station,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gumanpura,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerodram circle,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City mall,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D mart,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagar Nigam Chhawani,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMC rangbari,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermal power plant,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTU,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabji mandi kota ,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
